sgRNA	Gene	D0R1	D0R2	IVR1	IVR2	XENOR1	XENOR2	XENOR3	XENOR4	XENOR5
RNMT_9294	RNMT	1	1	559	445	329	1	0	0	0
MAVS_6659	MAVS	23258	24993	1364	1598	54	1343	388	5	7
TBXA2R_10821	TBXA2R	5918	6812	248	185	0	0	0	0	6
KAT6A_5495	KAT6A	7194	7594	513	302	0	0	14	0	0
FGFR4_3695	FGFR4	11641	11948	1367	1195	69	240	861	2	1
CDK4_2130	CDK4	1536	1278	415	68	0	0	0	0	332
CACNB3_1738	CACNB3	5098	5406	1791	566	37	283	13	35	178
ING5_5234	ING5	3720	4654	588	421	12440	0	0	213	1
PRMT6_8807	PRMT6	1917	2017	634	173	0	0	0	0	65
KIAA1456_6126	KIAA1456	13465	16562	1408	1005	259	1	556	522	0
PER1_8170	PER1	44573	56002	168	190	0	0	1	0	4
MMP10_6942	MMP10	9763	10959	646	847	2729	212	9	0	0
ALKBH3_497	ALKBH3	697	945	454	676	29	23	0	28	1
TCF3_10839	TCF3	34276	40893	306	29	6	4	0	10	1
PPARA_8480	PPARA	4019	3505	1346	393	174	5	47	162	59
USP3_11888	USP3	15533	15514	360	160	0	7	15	0	0
MMP7_7130	MMP7	848	606	1837	1639	1493	30	705	6	923
KCNJ1_5712	KCNJ1	537	838	909	487	31	0	214	11	0
SALL1_9591	SALL1	44270	43961	119	6	0	2	1	0	0
CRBN_2530	CRBN	1128	872	1280	1358	10	479	695	1	24114
MMP28_7109	MMP28	8842	8882	133	170	1	41	0	1	0
ADRA2B_359	ADRA2B	15583	17571	433	156	38	0	174	0	1
MEPCE_6771	MEPCE	1761	2225	273	101	0	3	5	0	9
CYP11B1_2777	CYP11B1	19	1	2020	1078	28	245	1226	39	53
USP38_11889	USP38	986	1013	999	289	0	2	2	50	1
KAT6A_5493	KAT6A	2679	2454	689	565	272	362	1	124	0
HDAC10_4563	HDAC10	1683	1400	361	306	0	470	0	1	35
KIAA1456_6140	KIAA1456	3557	3899	741	940	29	51	11	0	167
USP28_11873	USP28	2117	2236	5959	4068	3685	287	2884	14441	10046
PRDM9_8620	PRDM9	223	387	552	177	0	0	8	214	0
BRCA2_1219	BRCA2	1331	1849	1237	146	39	66	259	203	1
SMYD3_10373	SMYD3	5237	5382	500	229	0	0	243	0	5
AAVS0041_41	AAVS	173	108	574	554	80	0	41	0	0
HMGA2_4711	HMGA2	7846	7579	1140	904	13	7	15	1	6
NSUN5P1_7714	NSUN5P1	5383	5642	1461	457	266	0	34	5	0
PLAT_8305	PLAT	2371	2505	312	108	0	0	0	0	0
ATM_929	ATM	1154	1111	1065	456	34	40	336	1	2212
CKM_2401	CKM	18182	18449	1387	797	5	4	191	9	379
LPL_6415	LPL	5335	6025	1518	661	5333	136	35	1847	381
NSUN2_7620	NSUN2	14	0	1344	582	930	39	885	2	0
GABRE_4045	GABRE	646	1106	1338	1258	522	107	18	21	32
SLC6A3_10251	SLC6A3	1510	1480	274	492	22	5	32	0	2
KMT2B_6234	KMT2B	858	894	331	580	0	0	0	0	1
ABCC1_123	ABCC1	3311	3624	501	303	50	60	236	36	11
KIT_6200	KIT	25410	23469	611	237	23	9	1	0	7
BRMS1L_1354	BRMS1L	642	850	739	173	0	77	0	0	0
HTR6_4951	HTR6	3030	3007	163	0	0	0	0	0	0
LacZ:2131-2150_LacZ_+_6320	LacZ:2131-2150_LacZ_+	2887	2686	491	388	1	7	1	975	1
KAT6B_5498	KAT6B	530	802	594	653	5158	0	12	29	38
SERPINB2_9806	SERPINB2	883	885	924	1104	36	0	1671	10	3
CKM_2403	CKM	7221	6942	505	377	2	369	10	0	2
COPRS_2482	COPRS	531	693	1189	659	1738	0	30	100	254
MMP12_6964	MMP12	364	218	802	867	43	749	136	1	69
GABRA3_3967	GABRA3	129	248	261	2	0	5	0	0	0
METTL14_6836	METTL14	3039	3443	418	400	0	2	1	933	1
PDCD1_8003	PDCD1	37	1	1533	1022	0	15	265	2376	4
RAMP3_9092	RAMP3	12	2	924	536	0	38	112	0	1
MAP2K2_6515	MAP2K2	6929	7709	782	569	182	38	83	6	804
FCGR3A_3600	FCGR3A	13066	16022	1807	946	40	161	2219	7	12
GLRA3_4262	GLRA3	4925	4491	367	288	3	0	0	1	0
BDKRB2_1148	BDKRB2	17625	21438	1049	1158	134	9	439	1	1
ALKBH5_547	ALKBH5	209	204	1145	848	5	2	1256	1	68
NSUN4_7657	NSUN4	5979	8136	665	347	0	0	0	0	1105
TRMT1_11213	TRMT1	3336	3366	229	44	0	0	0	0	0
SCN1B_9659	SCN1B	77	17	1138	844	457	2	22	2	21
GRIN2A_4331	GRIN2A	5152	4981	725	507	8	3	198	1	1
CD274_1962	CD274	444	786	929	565	187	0	12	0	0
CACNA1D_1641	CACNA1D	8357	11026	343	274	16	0	0	66	0
MC2R_6710	MC2R	3506	3233	861	608	37	2	291	2	390
BRD4_1279	BRD4	692	639	192	125	41	0	0	0	1114
NACC2_7402	NACC2	5990	6910	433	293	0	0	0	0	0
PDGFRB_8147	PDGFRB	557	619	296	168	0	4	0	0	102
KCNC3_5650	KCNC3	707	698	233	61	0	0	32	0	7
CHD1_2245	CHD1	8592	9744	123	286	0	0	0	56	0
MRGBP_7199	MRGBP	12402	12987	248	309	0	0	66	0	0
